_ID,_pageName,_pageTitle,_pageNamespace,_pageID,datum,datum__precision,etiketter__full,url,bild,youtubeid
2,"""Frode Forland fick hot från svenskar när han kritiserade Tegnell"" -Aftonbladet","""Frode Forland fick hot från svenskar när han kritiserade Tegnell"" -Aftonbladet",0,1532,2020-10-10,1,"sverige, Frode Forland, Anders Tegnell",https://www.aftonbladet.se/nyheter/a/PR3B6e/frode-forland-fick-hot-fran-svenskar-nar-han-kritiserade-tegnell,,
3,"""Har folkhälsomyndigheten eller någon annan publicerat (så att jag kan citera) att vi INTE haft några skolutbrott för covid-19?""","""Har folkhälsomyndigheten eller någon annan publicerat (så att jag kan citera) att vi INTE haft några skolutbrott för covid-19?""",0,1485,2020-05-12,1,"sverige, Jonas Ludvigsson, Anders Tegnell",https://twitter.com/JohanssoAnn/status/1551148955077058560,FYbJvjOWAAEqMgw.jpeg,
4,"""Man dör och skadas på ett helt annat sätt""","""Man dör och skadas på ett helt annat sätt""",0,1446,2020-04-11,1,"sverige,linde",https://tt.omni.se/man-dor-och-skadas-pa-ett-helt-annat-satt/a/8m8zlr,,
5,(104 recept) Så många patienter fick Paxlovid på recept innan nyår,(104 recept) Så många patienter fick Paxlovid på recept innan nyår,0,1499,2023-01-14,1,"sverige, Dagens Medicin, Paxlovid",https://www.dagensmedicin.se/alla-nyheter/lakemedel/sa-manga-patienter-fick-paxlovid-pa-recept-innan-nyar/,,
6,(1 år idag!) Anders Wallensten säger att nackdelen med en lockdown helt är att m…,(1 år idag!) Anders Wallensten säger att nackdelen med en lockdown helt är att m…,0,1149,2020-04-27,1,ar_covid,https://twitter.com/ar_covid/status/1387080542366142467,,
7,(Ljudklipp) Anders Tegnell säger att coronaviruset ”helt uppenbarligen” inte är …,(Ljudklipp) Anders Tegnell säger att coronaviruset ”helt uppenbarligen” inte är …,0,1170,2020-01-16,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1385686100421787653,,
8,"(Unga) inte drivande men det är i de grupperna som vi har den stora smittan, säger Anders Tegnell","(Unga) inte drivande men det är i de grupperna som vi har den stora smittan, säger Anders Tegnell",0,1366,2021-07-22,1,"sverige, Anders Tegnell, Aftonbladet",https://www.aftonbladet.se/nyheter/a/17XQWG/tegnells-krav-for-att-bromsa-smittan-ga-inte-pa-nattklubb,,
9,14 000 döda passerat,14 000 döda passerat,0,1027,2021-04-28,1,"statistik, sverige",https://twitter.com/LarpSerppon/status/1387413822038855680,E0EVLNbWEAgJunF.png,
10,20% i Sverige har varit smittade,20% i Sverige har varit smittade,0,1016,2020-10-01,1,sverige,http://www.youtube.com/watch?v=Z844ig8GIgM&t=23m15s,,
11,26% i region Stockholm kommer ha varit smittade den 1 maj,26% i region Stockholm kommer ha varit smittade den 1 maj,0,999,2020-04-23,1,sverige,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/april/uppdaterad-modellering-av-spridningen-av-covid-19-i-stockholms-lan/,,
12,6 miljoner smittade i Stockholm,6 miljoner smittade i Stockholm,0,998,2020-04-21,1,sverige,https://emanuelkarlsten.se/folkhalsomyndigheten-om-siffrorna-det-blev-alldeles-galet/,,
13,@svtnyheter planar ut kurvan. …,@svtnyheter planar ut kurvan. …,0,1148,2021-04-27,1,ar_covid,https://twitter.com/ar_covid/status/1387099407540174852,,
14,@svtnyheter plattar ut kurvan. …,@svtnyheter plattar ut kurvan. …,0,1125,2021-04-20,1,ar_covid,https://twitter.com/ar_covid/status/1384582129653329920,,
15,@svtnyheter plattar ut kurvan fortfarande. …,@svtnyheter plattar ut kurvan fortfarande. …,0,1200,2021-04-15,1,ar_covid,https://twitter.com/ar_covid/status/1382784382407180288,,
16,@svtnyheter rapporterar att Sveriges smittspridning ligger ”något över EU-genoms…,@svtnyheter rapporterar att Sveriges smittspridning ligger ”något över EU-genoms…,0,1220,2021-04-12,1,ar_covid,https://twitter.com/ar_covid/status/1381703898948337671,,
17,@svtnyheter tar fortfarande ansvar och planar ut kurvan. …,@svtnyheter tar fortfarande ansvar och planar ut kurvan. …,0,1238,2021-04-06,1,ar_covid,https://twitter.com/ar_covid/status/1379489535525064704,,
18,AB: Nya strategin – slutar räkna exakta antalet coronafall,AB: Nya strategin – slutar räkna exakta antalet coronafall,0,1337,2020-03-13,1,"sverige, Anders Tegnell, testning",https://www.aftonbladet.se/nyheter/samhalle/a/70GQRV/nya-strategin--slutar-rakna-exakta-antalet-coronafall,,
19,AB - Folkhälsomyndigheten avfärdade MSB:s coronascenario,AB - Folkhälsomyndigheten avfärdade MSB:s coronascenario,0,1320,2020-09-07,1,"sverige,Folkhälsomyndigheten, Aftonbladet",https://www.aftonbladet.se/nyheter/a/6jpJ1O/folkhalsomyndigheten-avfardade-msbs-coronascenario,,
20,Adam Kucharski - FHMs modell stämmer inte,Adam Kucharski - FHMs modell stämmer inte,0,1000,2020-04-25,1,sverige,https://twitter.com/adamjkucharski/status/1254084767496261632,,
21,Aftonbladet frågar Anders Tegnell om det faktum att Sverige nu för första gången…,Aftonbladet frågar Anders Tegnell om det faktum att Sverige nu för första gången…,0,1266,2021-03-30,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1376906014814011393,,
22,"Agnes Wold: ""Så länge man sitter är det ingen fara""","Agnes Wold: ""Så länge man sitter är det ingen fara""",0,1506,2021-05-21,1,"sverige, Agnes Wold, Expressen",https://www.expressen.se/nyheter/coronaviruset/agnes-wold-svarade--pa-120-coronafragor/,E2GT iWXsAARGc4.jpeg,
23,Agnes Wold svarade på 120 coronafrågor,Agnes Wold svarade på 120 coronafrågor,0,1494,2021-05-22,1,"sverige, Expressen",https://www.expressen.se/nyheter/coronaviruset/agnes-wold-svarade--pa-120-coronafragor/,,
24,Albert - Professor: Dödstalen i Norden kommer bli ganska jämna,Albert - Professor: Dödstalen i Norden kommer bli ganska jämna,0,1327,2020-05-10,1,"sverige,",https://sverigesradio.se/artikel/7470108,,
25,Anders Jansson: Livsfarliga råd till vården och samhället om risker med coronaviruset,Anders Jansson: Livsfarliga råd till vården och samhället om risker med coronaviruset,0,1313,2020-03-05,1,"sverige,Anders Jansson, Läkartidningen, debattartikel",https://lakartidningen.se/opinion/debatt/2020/03/fullstandigt-felaktiga-rad-till-varden-om-risker-med-coronaviruset/,2021-05-07 15-37.png,
26,Anders Tegnell: Mitigering & suppression egentligen samma sak,Anders Tegnell: Mitigering & suppression egentligen samma sak,0,1306,2020-03-17,1,"sverige, Anders Tegnell, mitigering, suppression, video, videoutdrag",https://twitter.com/ar_covid/status/1390009201674555393,,
27,"Anders Tegnell ""briefing"" for UK government","Anders Tegnell ""briefing"" for UK government",0,1023,2021-01-27,1,sverige,https://handlingar.se/sv/request/anders_tegnell_briefing_for_uk_g_2#incoming-858,,
28,Anders Tegnell berättar att FHM bedömer att det kan bli flockimmunitet i Stockho…,Anders Tegnell berättar att FHM bedömer att det kan bli flockimmunitet i Stockho…,0,1288,2020-04-16,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1374291554127466501,,
29,Anders Tegnell får fråga hur han ser på att 13 av de 15 regioner i Europa med hö…,Anders Tegnell får fråga hur han ser på att 13 av de 15 regioner i Europa med hö…,0,1156,2021-04-27,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1386992895434108930,,
30,Anders Tegnell får fråga hur han ser på att var fjärde lärare smittats. Han säge…,Anders Tegnell får fråga hur han ser på att var fjärde lärare smittats. Han säge…,0,1133,2021-04-29,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1387861023995072517,,
31,Anders Tegnell får fråga om FHM misslyckats med att nå gruppen utlandsfödda. Han…,Anders Tegnell får fråga om FHM misslyckats med att nå gruppen utlandsfödda. Han…,0,1135,2021-04-29,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1387765540215828484,,
32,Anders Tegnell får fråga om FHM står fast vid sina jämförelser mellan coronaviru…,Anders Tegnell får fråga om FHM står fast vid sina jämförelser mellan coronaviru…,0,1171,2020-03-06,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1385679080830509060,,
33,"Anders Tegnell får fråga om FHM verkligen anser att covid-19 är en droppsmitta, …","Anders Tegnell får fråga om FHM verkligen anser att covid-19 är en droppsmitta, …",0,1138,2021-04-29,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1387758947432603648,,
34,Anders Tegnell får fråga om den stora skillnaden i dödstal mellan Norge och Sver…,Anders Tegnell får fråga om den stora skillnaden i dödstal mellan Norge och Sver…,0,1152,2021-04-27,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1387048268090142732,,
35,Anders Tegnell får fråga om det är något han skulle vilja ha gjort annorlunda. H…,Anders Tegnell får fråga om det är något han skulle vilja ha gjort annorlunda. H…,0,1150,2021-04-27,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1387073658867302400,,
36,"Anders Tegnell får fråga om det är relevant att jämföra oss med grannländerna, s…","Anders Tegnell får fråga om det är relevant att jämföra oss med grannländerna, s…",0,1155,2021-04-27,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1387002752740495361,,
37,Anders Tegnell får fråga om hur FHM bedömer att utvecklingen av pandemin kommer …,Anders Tegnell får fråga om hur FHM bedömer att utvecklingen av pandemin kommer …,0,1188,2021-04-20,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1384486720155131904,,
38,Anders Tegnell får fråga om man undervärderat asymptomatisk smitta. Han säger at…,Anders Tegnell får fråga om man undervärderat asymptomatisk smitta. Han säger at…,0,1212,2020-04-14,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1382622675340816385,,
39,Anders Tegnell får frågan om FHM borde haft mer kontakter med utomstående forska…,Anders Tegnell får frågan om FHM borde haft mer kontakter med utomstående forska…,0,1270,2021-03-30,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1376880088436903938,,
40,Anders Tegnell får frågan om Sveriges mer hållbara strategi varit lyckosam då ma…,Anders Tegnell får frågan om Sveriges mer hållbara strategi varit lyckosam då ma…,0,1269,2021-03-30,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1376882780978741248,,
41,Anders Tegnell får frågan om det är bra att vaccinera äldre med AstraZenecas vac…,Anders Tegnell får frågan om det är bra att vaccinera äldre med AstraZenecas vac…,0,1280,2021-03-25,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1375154858353889282,,
